staff_id,load
S001,10.0
S002,24.785996090329824
S003,18.000080967532046
S004,20.0
S005,18.879236054546915
S006,28.879236054546915
S007,20.0
S008,10.0
S009,26.000106245595553
S010,10.0
S011,27.75847210909383
S012,20.0
S013,10.0
S014,18.879236054546915
S015,18.879236054546915
S016,26.000106245595553
S017,18.879236054546915
S018,20.0
S019,8.879236054546913
S020,18.000053122797777
S021,10.0
S022,8.879236054546913
S023,8.000053122797777
S024,20.0
S025,16.000134090329823
S026,18.879236054546915
S027,10.0
S028,10.0
S029,10.0
S030,20.0
S031,8.000053122797777
S032,10.0
S033,10.0
S034,27.999979671983567
S035,6.785942967532047
S036,20.0
S037,8.879236054546913
S038,16.000106245595553
S039,18.879236054546915
S040,18.000053122797777
S041,18.000053122797777
S042,10.0
S043,7.999979671983566
S044,18.000053122797777
S045,18.879236054546915
S046,20.0
S047,10.0
S048,18.879236054546915
S049,17.758472109093827
S050,26.879289177344692
S051,10.0
S052,18.879236054546915
S053,8.000053122797777
S054,8.000053122797777
S055,10.0
S056,10.0
S057,8.879236054546913
S058,16.000134090329823
S059,8.000053122797777
S060,10.0
S061,30.0
S062,10.0
S063,10.0
S064,8.000053122797777
S065,0.0
S066,10.0
S067,8.000053122797777
S068,18.879236054546915
S069,0.0
S070,8.879236054546913
S071,10.0
S072,8.879236054546913
S073,10.0
S074,8.000080967532046
S075,18.879236054546915
S076,8.000053122797777
S077,0.0
S078,0.0
S079,10.0
S080,8.879236054546913
