staff_id,T1,T2,T3
S001,9.183872494441657,8.345920518187098,6.910754099200412
S002,9.674940400893368,9.790496814340775,9.250592884258262
S003,7.999994390499424,11.999869374410792,0.0
S004,10.073380697361012,11.527560499827628,9.03149423534879
S005,10.35717838030672,10.332372323013988,0.0
S006,8.972435607644309,11.527560499827628,8.161694898559285
S007,8.314667240962931,9.212440410938624,0.0
S008,8.2529944011594,9.383303760506726,0.0
S009,7.999994390499424,0.0,7.960529171293414
S010,10.050985298692856,8.646892403234157,0.0
S011,0.0,8.028616210397617,6.509455373936535
S012,0.0,9.96707023732852,7.038572653415222
S013,7.999994273415091,8.017095482481364,0.0
S014,0.0,11.122198002040028,8.161694898559285
S015,0.0,7.85200814399218,6.002317423795529
S016,0.0,11.444474144585184,9.538038102179014
S017,11.091416638116971,8.815550057079099,9.317251505788375
S018,9.89618563269603,10.859205258797944,6.970178347047268
S019,10.626121520783608,9.877772450501055,8.670971979549053
S020,9.95181588251912,9.584870497005392,8.1022268219112
S021,10.436656927835166,8.846867487055627,11.010707784358054
S022,7.999994273415091,9.66633556370371,9.03090015203801
S023,0.0,9.877772450501055,8.971432075389925
S024,0.0,10.101864225973983,0.0
S025,10.180162846211768,8.813933136828721,9.538038102179014
